taxon,species_aggregated,genus,family,flowering_start,flowering_end,flowering_times,flowers_m2,nectar_ml,sugar_concentration_mol,sugar_concentration_perc,nectar_sugar_content_mg,pollen_mg,corolla_mm,protein,sugar_perc,time_to_dry_proxy_raw,time_to_dry_days,gmm_confidence,gmm_label
Galium spec,"Galium album, Galium aparine, Galium mollugo, Galium mollugo agg, Galium saxatile, Galium verum",Galium,Rubiaceae,157.0,263.0,106.0,1272.47712121212,2.8046954275493334e-05,1.375,,0.0168605071435,0.0710020424181644,3.401651903439111,25.0179055883978,1.1021932049519045,9.078872373511948e-06,0.09347838595736126,1.0,1.0
Iris pseudacorus,Iris pseudacorus,Iris,Iridaceae,121.0,334.0,213.0,12.1,0.0072504820333041,1.375,,3.41253,,4.0,25.0179055883978,1.375,0.0018375440357216,7.0,0.9999999999999772,1.0
Onobrychis viciifolia,Onobrychis viciifolia,Onobrychis,Fabaceae,121.0,212.0,91.0,,0.00023143943113385583,1.65882753919564,36.1666666666667,0.145,,4.037149890207975,27.5,1.766467477669627,6.018508066442666e-05,0.6542172182279764,1.0,1.0
Polygonum spec,"Polygonum, Polygonum aviculare, Polygonum aviculare agg",Polygonum,Polygonaceae,121.0,334.0,213.0,855.77,6.48022733912305e-06,1.375,0.0,0.00305,0.0051065471737198,1.33,25.0179055883978,1.375,4.939346177174834e-06,0.0553890935026197,1.0,1.0
Plantago spec,"Plantago coronopus, Plantago lanceolata, Plantago major, Plantago media",Plantago,Plantaginaceae,114.0,281.0,167.0,269.758590481172,0.0,0.0,,0.0,0.496323030503319,3.7261173134651666,23.9,0.0,0.0,0.05,1.0,1.0
Cytisus scoparius,Cytisus scoparius,Cytisus,Fabaceae,121.0,181.0,60.0,3883.28,7.702741606640674e-05,1.375,,0.03396,,3.5501119970292896,26.3727967,1.3756411384757876,1.8286431314334906e-05,0.24665599779812772,1.0,1.0
Lamium spec gens rubra,"Lamium maculatum, Lamium purpureum",Lamium,Lamiaceae,75.0,288.0,213.0,463.9348809525,0.0032382994353958,1.012756841,56.0,0.788124188956937,0.347361984866693,7.0,22.8,1.012756841,0.0004672993613981,5.240225546815081,1.0,1.0
Anchusa officinalis,Anchusa officinalis,Anchusa,Boraginaceae,121.0,243.0,122.0,22456.0,0.0012056892894629265,2.52264095822378,55.0,1.16,,3.879337207288702,30.2597411333333,2.176349413073492,0.0003612421477489,3.561090776742106,1.0,1.0
Senecio spec,"Senecio doronicum, Senecio vernalis",Senecio,Asteraceae,152.0,288.0,136.0,,0.5,,,,,4.0,18.91633889375,1.375,0.1267187496832031,7.0,1.0,0.0
Ulex spec,"Ulex europaeus, Ulex gallii",Ulex,Fabaceae,121.0,181.0,60.0,602.345,1.302415295176334e-05,1.375,,0.00665,,3.712538097452812,26.3727967,1.2851972087053078,3.580823564202805e-06,0.05,1.0,1.0
Allium ursinum,Allium ursinum,Allium,Amaryllidaceae,121.0,151.0,30.0,,0.55,,,,53.276,4.580967012754888,25.0179055883978,1.1964223323882686,0.1267187496832031,7.0,1.0,0.0
Angelica sylvestris,Angelica sylvestris,Angelica,Apiaceae,182.0,273.0,91.0,752.184393063584,0.0002519112929471,3.14183464796962,68.5,0.270918,,0.0,25.0179055883978,3.14183464796962,25982.592923106025,7.0,0.9957974713167016,1.0
Helianthus spec,"Helianthus, Helianthus annuus, Helianthus spp",Helianthus,Asteraceae,121.0,304.0,183.0,7.0,0.0246837099729517,0.7,26.1415322580645,14.145,20.885,4.5,23.7,0.7,0.0055236657527834,7.0,1.0,1.0
Ajuga spec,"Ajuga, Ajuga reptans, Ajuga spp",Ajuga,Lamiaceae,121.0,232.0,111.0,4779.2543229165,0.0007597598672688811,0.824737635,53.0,0.191817611215708,0.65,10.64313465769242,7.2103857,0.961597325154299,8.163446276508307e-05,0.8081980482255041,1.0,1.0
Hedera helix,Hedera helix,Hedera,Araliaceae,213.0,334.0,121.0,87.8172185430464,0.03073371042914428,0.665059888986269,14.5,9.208282,,4.263781963610196,25.5,0.5858376600536276,0.0101795767261947,7.0,1.0,1.0
Lamium album,Lamium album,Lamium,Lamiaceae,106.0,334.0,228.0,299.7904761905,0.0019869611737332,0.756159314,33.5,0.851684824946353,0.725,10.6,22.8,0.756159314,0.0001888665814929,2.117921758587226,1.0,1.0
Cytisus scoparius,Cytisus scoparius,Cytisus,Fabaceae,121.0,181.0,60.0,3883.28,9.160905425284653e-05,1.375,,0.03396,,3.776969982048583,26.3727967,1.4814863742459243,1.8286431314334906e-05,0.2760174106294002,1.0,1.0
Allium ursinum,Allium ursinum,Allium,Amaryllidaceae,121.0,151.0,30.0,,0.5,,,,53.276,4.0,25.0179055883978,1.375,0.1267187496832031,7.0,1.0,0.0
Veronica spec,"Veronica arvensis, Veronica chamaedrys, Veronica hederifolia, Veronica persica, Veronica polita, Veronica serpyllifolia, Veronica sp",Veronica,Plantaginaceae,50.0,273.0,223.0,768.253333333333,2.6217269244920592e-05,1.375,27.5,0.0120280997816667,0.0345682603126845,3.0719962261080473,20.637919575,1.7006875716346521,8.635689843585472e-06,0.09732971608843181,1.0,1.0
Angelica sylvestris,Angelica sylvestris,Angelica,Apiaceae,182.0,273.0,91.0,752.184393063584,0.00024789902883248717,3.14183464796962,68.5,0.270918,,0.0,25.0179055883978,3.2278452380952443,25982.592923106025,7.0,0.9957974713167016,1.0
Lobularia maritima,Lobularia maritima,Lobularia,Brassicaceae,152.0,334.0,182.0,,7.271994247976811e-06,1.375,,0.004212743859,0.012493371343539,2.1173793979799704,24.4562121181818,1.480439499250429,4.536869907532366e-06,0.05,1.0,1.0
Zea mays,"Zea, Zea mays",Zea,Poaceae,197.0,211.0,14.0,42.5,0.0,0.0,,0.0,35.3,4.0,17.69,0.0,0.0,0.05,1.0,1.0
Stellaria holostea,Stellaria holostea,Stellaria,Caryophyllaceae,91.0,120.0,29.0,1.31,1.2966659840933404e-05,1.375,,0.00554,,4.58433647693044,25.0179055883978,1.178074187716768,2.9831221873208383e-06,0.05,1.0,1.0
Lonicera spec,"Lonicera, Lonicera maackii, Lonicera periclymenum",Lonicera,Caprifoliaceae,152.0,212.0,60.0,57.91,0.0031960500581821928,1.375,31.0,1.72684,,5.993173269129551,24.8,1.4510548492170154,0.0005313434474958,6.066917619420662,1.0,1.0
Knautia arvensis,Knautia arvensis,Knautia,Dipsacaceae,182.0,253.0,71.0,58.6473633780105,0.0209519432714525,1.375,,9.861294,8.88,0.0,11.95,1.375,2124003.249143497,7.0,1.0,1.0
,,,,,,,,0.000916352540435914,,,,,5.129339293149441,,1.239168486952573,,2.028170781476729,,
Calluna spec,"Calluna, Calluna vulgaris",Calluna,Ericaceae,213.0,304.0,91.0,5815.06,0.0010137577411342257,1.4218521764534,31.0,0.42794,,4.097651839063003,13.9,1.3504286251413595,0.0003438382076695,2.811768163840182,1.0,1.0
Allium ursinum,Allium ursinum,Allium,Amaryllidaceae,121.0,151.0,30.0,,0.43719513321294035,,,,53.276,3.1116780924609904,25.0179055883978,1.2524049273590108,0.1267187496832031,7.0,1.0,0.0
,,,,,,,,0.00011214650467081223,,,,,4.0,,1.791269994297237,,0.3200302827345521,,
,,,,,,,,8.238306573587124e-05,,,,,3.683227458118018,,1.375,,0.2542699679902071,,
Eranthis hyemalis,Eranthis hyemalis,Eranthis,Ranunculaceae,32.0,120.0,88.0,,0.0009752428791988788,1.18334794040316,25.8,0.38,,3.824697288517867,15.03,1.1926609120693212,0.0002373084982547,2.8934736214651493,1.0,1.0
Iris pseudacorus,Iris pseudacorus,Iris,Iridaceae,121.0,334.0,213.0,12.1,0.00680639019420255,1.375,,3.41253,,3.073824878486751,25.0179055883978,1.086639882666487,0.0018375440357216,7.0,0.9999999999999772,1.0
,,,,,,,,0.0003092611051559856,,,,,4.0,,2.2873778389864268,,0.8868336204216885,,
Hedera helix,Hedera helix,Hedera,Araliaceae,213.0,334.0,121.0,87.8172185430464,0.0404492949703492,0.665059888986269,14.5,9.208282,,4.0,25.5,0.665059888986269,0.0101795767261947,7.0,1.0,1.0
Stellaria media,Stellaria media,Stellaria,Caryophyllaceae,1.0,365.0,364.0,220.22,2.02139738984941e-05,1.375,,0.00951395949,0.0017829058304383,4.0,25.0179055883978,1.375,5.122978997092151e-06,0.0574483246372084,1.0,1.0
Hypericum spec,"Hypericum maculatum, Hypericum perforatum, Hypericum pulchrum, Hypericum spp, Hypericum tetrapterum",Hypericum,Hypericaceae,167.0,250.0,83.0,2678.405625,0.0,0.0,22.5,0.0,0.5,1.0,13.9074028,0.0,0.0,0.05,1.0,1.0
Aesculus hippocastanum,Aesculus hippocastanum,Aesculus,Sapindaceae,121.0,181.0,60.0,3035.23,0.0005399351039538,2.8322378030967,61.75,0.44928,,4.5,33.146,2.8322378030967,0.0001233838552991,1.3836082049606733,1.0,1.0
Vicia spec perennes,"Vicia cassubica, Vicia cracca, Vicia grandiflora, Vicia nigricans, Vicia sepium, Vicia sp, Vicia tenuifolia",Vicia,Fabaceae,140.0,206.0,66.0,221.10416666675,0.001587069,1.375,29.5,0.157638159683334,0.308991306727076,6.8,23.774583325,1.375,0.000236601646527,2.6532156792170185,1.0,1.0
Calendula officinalis,Calendula officinalis,Calendula,Asteraceae,152.0,304.0,152.0,,0.0011001821493680235,1.375,,0.47074647115,2.08376048088796,3.134620518664353,18.91633889375,1.1724584946600005,0.000253482715287,3.9819583828554097,1.0,1.0
Althaea officinalis,Althaea officinalis,Althaea,Malvaceae,182.0,273.0,91.0,,0.003727105733849288,2.01811276657902,44.0,2.64,,4.037022780430221,37.1,2.408146634865193,0.0009746953424668,7.0,0.9999953353745592,1.0
Cyanus segetum,Centaurea cyanus,Centaurea,Asteraceae,152.0,304.0,152.0,,0.0009831480345098905,1.97224656733859,43.0,21.4151085539,4.21759572411648,4.142641361399367,26.2,2.1007651483016963,0.0003382830054653,2.7172235286324686,1.0,1.0
Trifolium resupinatum,Trifolium resupinatum,Trifolium,Fabaceae,91.0,181.0,90.0,,0.001532263544240462,1.375,,0.821333333333331,,3.632741920564115,26.3727967,1.28933256508794,0.000442263120912,4.790903509581234,1.0,1.0
Angelica sylvestris,Angelica sylvestris,Angelica,Apiaceae,182.0,273.0,91.0,752.184393063584,0.0002371569511933389,3.14183464796962,68.5,0.270918,,0.0,25.0179055883978,3.2278452380952443,25982.592923106025,7.0,0.9957974713167016,1.0
Hypochaeris spec,"Hypochaeris radicata, Hypochoeris",Hypochaeris,Asteraceae,152.0,243.0,91.0,169.039446366782,0.0031840688079745,1.375,,1.49862178533333,0.485958947248406,4.0,16.775,1.375,0.0008069624365036,7.0,0.9999999999999836,1.0
Trifolium hybridum,Trifolium hybridum,Trifolium,Fabaceae,121.0,273.0,152.0,,0.334567718362712,1.97224656733859,43.0,113.241333333334,,4.0,23.54,1.97224656733859,0.085291554462657,7.0,1.0,0.0
Betonica officinalis,Betonica officinalis,Betonica,Lamiaceae,182.0,243.0,61.0,,0.55,,,,,4.444008541782601,18.7046642833333,1.5060452982151384,0.1267187496832031,7.0,1.0,0.0
,,,,,,,,0.29319529831928676,,,,,1.6569146993811104,,1.6950236695816883,,7.0,,
